SQUADRA, GIOCATORE, RUOLO, RATING

Francia, Fabien Barthez, POR, 89
Francia, Lilian Thuram, TD, 91
Francia, Marcel Desailly, DC, 92
Francia, Laurent Blanc, DC, 90
Francia, Bixente Lizarazu, TS, 89
Francia, Didier Deschamps, CC, 90
Francia, Emmanuel Petit, CC, 88
Francia, Christian Karembeu, CC, 86
Francia, Youri Djorkaeff, TRQ, 89
Francia, Zinedine Zidane, TRQ, 95
Francia, Thierry Henry, ATT, 90

Brasile, Cláudio Taffarel, POR, 88
Brasile, Cafu, TD, 90
Brasile, Aldair, DC, 88
Brasile, Júnior Baiano, DC, 85
Brasile, Roberto Carlos, TS, 92
Brasile, Dunga, CC, 89
Brasile, César Sampaio, CC, 87
Brasile, Leonardo, CC, 88
Brasile, Rivaldo, TRQ, 92
Brasile, Bebeto, ATT, 88
Brasile, Ronaldo, ATT, 96

Italia, Gianluca Pagliuca, POR, 89
Italia, Giuseppe Bergomi, TD, 86
Italia, Fabio Cannavaro, DC, 90
Italia, Alessandro Costacurta, DC, 87
Italia, Paolo Maldini, TS, 92
Italia, Francesco Moriero, ED, 86
Italia, Demetrio Albertini, CC, 88
Italia, Dino Baggio, CC, 87
Italia, Luigi Di Biagio, CC, 86
Italia, Alessandro Del Piero, ATT, 92
Italia, Christian Vieri, ATT, 92

Germania, Andreas Köpke, POR, 88
Germania, Christian Wörns, DC, 86
Germania, Jürgen Kohler, DC, 88
Germania, Thomas Helmer, DC, 86
Germania, Stefan Reuter, TD, 86
Germania, Christian Ziege, TS, 87
Germania, Dietmar Hamann, CC, 87
Germania, Lothar Matthäus, CC, 92
Germania, Andreas Möller, TRQ, 90
Germania, Jürgen Klinsmann, ATT, 89
Germania, Oliver Bierhoff, ATT, 90

Argentina, Carlos Roa, POR, 88
Argentina, Javier Zanetti, TD, 90
Argentina, Roberto Ayala, DC, 90
Argentina, José Chamot, DC, 85
Argentina, Roberto Sensini, TS, 86
Argentina, Diego Simeone, CC, 89
Argentina, Matías Almeyda, CC, 87
Argentina, Juan Sebastián Verón, CC, 91
